Ontology transportation.incoherent.xml
1157/2380 tiên đề logic
Số khái niệm không thoả được: 62
Số khái niệm: 445
Số tiên đề tri thức nền ban đầu: 1015
Ambulance ⊑ OpenTopRailcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SpecializedTankerShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RotaryDumpCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SelfConnectedObject: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ HumanPoweredDevice: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PontoonBridge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RailwayVehicle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ BodyMotion: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PhysicalQuantity: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Pier: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Harbor: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ChemicalTankerShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ HumanHabitationSpace: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RailwayJunction: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DiningCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TransitwayObstacle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Barge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ UnimodalTransportationSystem: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FlightDeck: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Trailer: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SpineCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Text: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TractorTrailer: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CrewList: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ DirectingTraffic: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ShipHold: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Organization: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ LightFixture: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RefrigeratedCompartment: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ElectricalSignalling: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AtmosphericRegion: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AirTrafficControlTower: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Trip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ FishingBoat: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AirportClassification: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CraneShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Device: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MotorizedRailwayCar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Fuel: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AirTrafficControlRadarRoom: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MultipleTrackRailway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ WaterTransportationSystem: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Motorcycle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AnimalPoweredDevice: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PassengerAndCargoShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CertificateOfRegistry: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CognitiveAgent: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SeaPort: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Containerization: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Flatcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ OrganicCompound: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MilitaryWatercraft: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Runway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Waterway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AirportByRunwaySurface: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ContainerTerminal: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Street: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PetroleumProduct: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Axle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ OreCarrierShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ SetOrClass: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ElectronicSignalling: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ShipBerthing: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ LiquefiedPetroleumGas: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Dredger: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TransportationAuthority: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ElectricMotor: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Streetcar: Rejected (k=4, nAx=1113, nAxPerStep=24.5)
Ambulance ⊑ CargoHandling: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ GeneralCargoShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ElectrifiedRailwayCar: Rejected (k=4, nAx=1113, nAxPerStep=24.5)
Ambulance ⊑ VolumeMeasure: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Hole: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Expressway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ GliderAirplane: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ IntentionalProcess: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TrainAssembly: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PartialContainerShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RegulatoryProcess: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ LiquefiedGasAndChemicalTankerShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ EmergencyVehicle: Accepted (k=4, nAx=1113, nAxPerStep=24.5)
Ambulance ⊑ TrafficSignal: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Railway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ShipDeck: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ ElectricDevice: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ PropellerAirplane: Rejected (k=4, nAx=1113, nAxPerStep=24.5)
Ambulance ⊑ LandArea: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ EmergencyRoadVehicle: Accepted (k=3, nAx=1017, nAxPerStep=0.7)
Ambulance ⊑ Battery: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ RailroadTrack: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ BusinessRailcar: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Container: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Seavan: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ LandVehicle: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TransitTerminal: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ CubicFoot: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AirTransitway: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Navigation: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Minivan: Rejected (k=4, nAx=1113, nAxPerStep=24.5)
Ambulance ⊑ ShipCabin: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ OffshoreSupportShip: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Region: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Bridge: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ Obligation: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ LengthMeasure: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ VehicleWheel: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ TrafficControlProcess: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ MajorAirCarrier: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
Ambulance ⊑ AirRoute: NA_ODP (k=5, nAx=1121, nAxPerStep=21.2, nDeltaODP = 8)
