Ontology transportation.incoherent.xml
1157/2380 tiên đề logic
Số khái niệm không thoả được: 62
Số khái niệm: 445
Số tiên đề tri thức nền ban đầu: 1015
OpenTopRailcar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
SpecializedTankerShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
RotaryDumpCar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
SelfConnectedObject ⊑ Ambulance: NA_ODP (k=6, nAx=1139, nAxPerStep=20.7, nDeltaODP = 8)
HumanPoweredDevice ⊑ Ambulance: NA_ODP (k=4, nAx=1122, nAxPerStep=26.8, nDeltaODP = 8)
PontoonBridge ⊑ Ambulance: NA_ODP (k=4, nAx=1121, nAxPerStep=26.5, nDeltaODP = 8)
RailwayVehicle ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
BodyMotion ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
PhysicalQuantity ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Pier ⊑ Ambulance: NA_ODP (k=5, nAx=1128, nAxPerStep=22.6, nDeltaODP = 7)
Harbor ⊑ Ambulance: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 8)
ChemicalTankerShip ⊑ Ambulance: NA_ODP (k=12, nAx=1136, nAxPerStep=10.1, nDeltaODP = 98)
HumanHabitationSpace ⊑ Ambulance: NA_ODP (k=9, nAx=1141, nAxPerStep=14.0, nDeltaODP = 7)
RailwayJunction ⊑ Ambulance: Accepted (k=5, nAx=1115, nAxPerStep=20.0)
DiningCar ⊑ Ambulance: NA_ODP (k=15, nAx=1157, nAxPerStep=9.5, nDeltaODP = 98)
TransitwayObstacle ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
Barge ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
UnimodalTransportationSystem ⊑ Ambulance: NA_ODP (k=3, nAx=1121, nAxPerStep=35.3, nDeltaODP = 8)
FlightDeck ⊑ Ambulance: NA_ODP (k=5, nAx=1123, nAxPerStep=21.6, nDeltaODP = 7)
Trailer ⊑ Ambulance: NA_ODP (k=10, nAx=1136, nAxPerStep=12.1, nDeltaODP = 98)
SpineCar ⊑ Ambulance: NA_ODP (k=11, nAx=1136, nAxPerStep=11.0, nDeltaODP = 98)
